school_id,num_applications,num_accepted,num_enrolled,acceptance_rate,enrollment_rate,cal_year
NGA_SCH_000010,87.0,81.0,66.0,93.1,81.5,2014
NGA_SCH_008696,1691.0,1158.0,958.0,68.5,82.7,2014
NGA_SCH_005835,1675.0,749.0,708.0,44.7,94.5,2014
NGA_SCH_005162,747.0,584.0,509.0,78.2,87.2,2014
NGA_SCH_005115,861.0,482.0,377.0,56.0,78.2,2014
NGA_SCH_010731,833.0,399.0,300.0,47.9,75.2,2014
NGA_SCH_011511,268.0,208.0,162.0,77.6,77.9,2014
NGA_SCH_008217,844.0,441.0,329.0,52.3,74.6,2014
NGA_SCH_009720,828.0,486.0,354.0,58.7,72.8,2014
NGA_SCH_005820,1930.0,848.0,722.0,43.9,85.1,2014
NGA_SCH_000377,1772.0,1145.0,1082.0,64.6,94.5,2014
NGA_SCH_002761,1051.0,712.0,563.0,67.7,79.1,2014
NGA_SCH_003894,1185.0,741.0,661.0,62.5,89.2,2014
NGA_SCH_008613,994.0,738.0,583.0,74.2,79.0,2014
NGA_SCH_009496,612.0,258.0,181.0,42.2,70.2,2014
NGA_SCH_003809,1029.4926440539436,37.0,27.0,3.6,73.0,2014
NGA_SCH_000716,1105.0,958.0,571.2093307527758,86.7,59.6,2014
NGA_SCH_009115,706.0,434.0,366.0,61.5,84.3,2014
NGA_SCH_002055,1102.0,720.0,669.0,65.3,92.9,2014
NGA_SCH_003147,1505.0,938.0,890.0,62.3,94.9,2014
NGA_SCH_008857,793.0,389.0,318.0,49.1,81.7,2014
NGA_SCH_001558,347.0,258.0,571.2093307527758,74.4,221.4,2014
NGA_SCH_009196,1024.0,485.0,451.0,47.4,93.0,2014
NGA_SCH_006286,542.0,336.0,254.0,62.0,75.6,2014
NGA_SCH_002255,876.0,385.0,318.0,43.9,82.6,2014
NGA_SCH_003117,670.0,613.0,470.0,91.5,76.7,2014
NGA_SCH_009127,831.0,366.0,330.0,44.0,90.2,2014
NGA_SCH_005837,1292.0,557.0,394.0,43.1,70.7,2014
NGA_SCH_005651,1651.0,1063.0,937.0,64.4,88.1,2014
NGA_SCH_001330,1029.4926440539436,223.0,163.0,21.7,73.1,2014
NGA_SCH_002597,1920.0,1775.0,1267.0,92.4,71.4,2014
NGA_SCH_004807,1408.0,1022.0,849.0,72.6,83.1,2014
NGA_SCH_009556,739.0,454.0,353.0,61.4,77.8,2014
NGA_SCH_003319,423.0,244.0,222.0,57.7,91.0,2014
NGA_SCH_000424,1459.0,643.0,524.0,44.1,81.5,2014
NGA_SCH_006289,349.0,204.0,158.0,58.5,77.5,2014
NGA_SCH_007970,1875.0,1011.0,889.0,53.9,87.9,2014
NGA_SCH_010100,1071.0,467.0,333.0,43.6,71.3,2014
NGA_SCH_009725,1020.0,794.0,718.0,77.8,90.4,2014
NGA_SCH_008367,1401.0,863.0,771.0,61.6,89.3,2014
NGA_SCH_008137,1738.0,743.0,589.0,42.8,79.3,2014
NGA_SCH_008606,1755.0,1176.0,943.0,67.0,80.2,2014
NGA_SCH_005407,811.0,409.0,385.0,50.4,94.1,2014
NGA_SCH_001288,1433.0,835.0,700.0,58.3,83.8,2014
NGA_SCH_005284,1033.0,848.0,767.0,82.1,90.4,2014
NGA_SCH_010843,238.0,96.0,69.0,40.3,71.9,2014
NGA_SCH_010774,507.0,213.0,200.0,42.0,93.9,2014
NGA_SCH_002501,824.0,582.0,455.0,70.6,78.2,2014
NGA_SCH_007827,1748.0,1598.0,1333.0,91.4,83.4,2014
NGA_SCH_010443,1625.0,1201.0,908.0,73.9,75.6,2014
