trend_id,school_id,academic_year,num_applications,num_accepted,num_enrolled,acceptance_rate,enrollment_rate,country
NGA_SCH_008889_ADM_2017,NGA_SCH_008889,2017/2018,1484,1367,1269,0.921582723,0.928464425,Nigeria
NGA_SCH_009417_ADM_2020,NGA_SCH_009417,2020/2021,1873,954,888,,0.930981087,Nigeria
NGA_SCH_002318_ADM_2019,NGA_SCH_002318,2019/2020,1514,1145,1060,0.756488559,0.926466104,Nigeria
NGA_SCH_009003_ADM_2018,NGA_SCH_009003,2018/2019,378,230,178,0.610822215,0.776951296,Nigeria
NGA_SCH_010931_ADM_2024,NGA_SCH_010931,2024/2025,1117,804,738,0.720596954,0.91814544,Nigeria
NGA_SCH_008971_ADM_2022,NGA_SCH_008971,2022/2023,634,442,315,0.698733668,0.713810351,Nigeria
NGA_SCH_009866_ADM_2016,NGA_SCH_009866,2016/2017,368,279,255,0.760558598,0.916534028,Nigeria
NGA_SCH_009504_ADM_2022,NGA_SCH_009504,2022/2023,1636,665,564,0.406891698,0.848902217,Nigeria
NGA_SCH_007125_ADM_2022,NGA_SCH_007125,2022/2023,977,703,525,0.720183556,0.747632892,Nigeria
NGA_SCH_005866_ADM_2020,NGA_SCH_005866,2020/2021,1134,600,430,0.529388922,0.716742332,Nigeria
NGA_SCH_003237_ADM_2018,NGA_SCH_003237,2018/2019,146,102,75,0.704589201,0.736249239,Nigeria
NGA_SCH_004934_ADM_2016,NGA_SCH_004934,2016/2017,657,376,313,0.573229394,0.835076101,Nigeria
NGA_SCH_005277_ADM_2023,NGA_SCH_005277,2023/2024,556,506,430,0.910538136,0.850067099,Nigeria
NGA_SCH_001940_ADM_2021,NGA_SCH_001940,2021/2022,1683,1092,907,0.648913525,0.830823189,Nigeria
NGA_SCH_002385_ADM_2023,NGA_SCH_002385,2023/2024,1227,495,445,0.404111573,0.899962161,Nigeria
NGA_SCH_010419_ADM_2019,NGA_SCH_010419,2019/2020,1869,835,,0.447028044,0.787961054,Nigeria
NGA_SCH_000017_ADM_2017,NGA_SCH_000017,2017/2018,725,360,319,0.497591749,0.887653688,Nigeria
NGA_SCH_000202_ADM_2020,NGA_SCH_000202,2020/2021,1224,749,594,0.612266731,0.793486784,Nigeria
NGA_SCH_007403_ADM_2016,NGA_SCH_007403,2016/2017,998,922,654,0.924240193,0.709515595,Nigeria
NGA_SCH_008115_ADM_2019,NGA_SCH_008115,2019/2020,370,231,216,0.624614961,0.935540403,Nigeria
NGA_SCH_007614_ADM_2016,NGA_SCH_007614,2016/2017,710,375,337,0.529246168,0.900086583,Nigeria
NGA_SCH_000290_ADM_2020,NGA_SCH_000290,2020/2021,741,452,364,0.610984972,0.806093007,Nigeria
NGA_SCH_009430_ADM_2020,NGA_SCH_009430,2020/2021,903,471,386,0.522079174,0.82005155,Nigeria
NGA_SCH_002270_ADM_2015,NGA_SCH_002270,2015/2016,1723,1418,1244,0.823197718,0.877694202,Nigeria
NGA_SCH_004836_ADM_2018,NGA_SCH_004836,2018/2019,1214,608,466,0.501453003,0.767715841,Nigeria
NGA_SCH_001733_ADM_2017,NGA_SCH_001733,2017/2018,127,94,76,0.746995121,0.812285289,Nigeria
NGA_SCH_010411_ADM_2016,NGA_SCH_010411,2016/2017,844,743,538,0.880916415,0.725331031,Nigeria
NGA_SCH_011158_ADM_2021,NGA_SCH_011158,2021/2022,1875,1239,935,0.660840944,0.754957909,Nigeria
NGA_SCH_010899_ADM_2023,NGA_SCH_010899,2023/2024,1817,979,733,0.538868895,0.748777392,Nigeria
NGA_SCH_003405_ADM_2017,NGA_SCH_003405,2017/2018,1512,1350,1179,0.893253958,0.873373883,Nigeria
NGA_SCH_009280_ADM_2014,NGA_SCH_009280,2014/2015,103,68,49,0.664251539,0.731734475,Nigeria
NGA_SCH_009972_ADM_2017,NGA_SCH_009972,2017/2018,80,55,42,0.693545403,0.776661439,Nigeria
NGA_SCH_001962_ADM_2024,NGA_SCH_001962,2024/2025,238,171,139,0.722404552,0.81671161,Nigeria
NGA_SCH_004296_ADM_2019,NGA_SCH_004296,2019/2020,1852,1465,1240,0.791168185,0.846699149,Nigeria
NGA_SCH_001818_ADM_2016,NGA_SCH_001818,2016/2017,286,271,219,0.949196165,0.808695482,Nigeria
NGA_SCH_003333_ADM_2024,NGA_SCH_003333,2024/2025,1192,786,605,0.659910031,0.769922255,Nigeria
NGA_SCH_008186_ADM_2016,NGA_SCH_008186,2016/2017,1567,890,812,0.568158756,0.912688882,Nigeria
NGA_SCH_001327_ADM_2022,NGA_SCH_001327,2022/2023,73,51,36,0.700987583,0.715598851,Nigeria
